응답자 특성,종합만족도,민원분야,112신고처리분야,교통사고조사분야,수사분야
서울특별시경찰청,82.0,94.3,88.2,83.1,62.3
부산광역시경찰청,84.9,95.4,89.2,86.8,68.1
대구광역시경찰청,82.7,94.8,86.3,84.2,65.5
인천광역시경찰청,84.7,96.0,88.4,87.8,66.6
광주광역시경찰청,83.0,94.3,87.0,84.6,66.2
대전광역시경찰청,82.9,95.4,86.8,84.1,65.5
울산광역시경찰청,83.4,94.4,87.8,82.6,68.8
세종특별자치시경찰청,81.4,95.0,86.0,83.7,60.9
경기도남부경찰청,81.1,93.8,88.1,79.5,63.1
경기도북부경찰청,83.3,95.5,88.5,84.4,64.9
강원도경찰청,80.3,89.7,85.0,83.0,63.4
충청북도경찰청,83.9,95.7,87.0,87.4,65.6
충청남도경찰청,83.0,95.4,87.3,85.1,64.0
전라북도경찰청,85.6,95.3,86.6,89.8,70.5
전라남도경찰청,83.4,94.8,87.6,86.6,64.6
경상북도경찰청,82.0,94.5,85.5,84.7,63.3
경상남도경찰청,84.9,95.0,88.4,90.2,66.2
제주특별자치도경찰청,82.1,93.6,85.8,83.5,65.3
서울중부서,83.9,94.3,88.5,86.9,65.8
서울종로서,81.8,96.2,86.9,80.3,63.9
서울남대문서,85.5,95.0,88.7,92.9,65.6
서울서대문서,81.6,94.3,89.2,82.5,60.4
서울혜화서,83.7,95.3,89.4,87.6,62.5
서울용산서,82.7,95.9,87.8,84.4,62.7
서울성북서,82.8,94.2,87.0,82.4,67.7
서울동대문서,84.7,95.0,88.5,86.7,68.8
서울마포서,83.4,93.6,87.6,90.3,61.9
서울영등포서,81.6,93.2,88.0,83.8,61.6
서울성동서,80.6,95.0,87.7,78.2,61.4
서울동작서,81.2,94.8,88.2,83.0,58.7
서울광진서,81.6,94.7,88.1,75.0,68.7
서울서부서,84.3,95.0,89.2,84.5,68.6
서울강북서,81.1,92.4,87.8,80.1,64.0
서울금천서,84.3,93.2,87.4,90.7,66.0
서울중랑서,82.1,94.2,89.1,83.1,62.0
서울강남서,79.4,94.9,84.8,78.2,59.9
서울관악서,81.3,93.1,88.2,80.7,63.3
서울강서서,80.5,93.4,86.5,81.6,60.3
서울강동서,81.8,93.6,85.5,83.7,64.4
서울종암서,82.7,95.8,86.8,87.6,60.4
서울구로서,81.9,93.3,88.3,85.8,60.0
서울서초서,78.5,93.6,86.5,78.8,55.2
서울양천서,80.9,94.2,88.0,77.6,63.6
서울송파서,80.3,94.3,87.5,79.7,59.7
서울노원서,82.6,94.9,88.1,85.7,61.7
서울방배서,83.4,95.1,87.9,86.6,64.1
